source,company,role,location,posted_time,job_link,experience,skills,match_score,freshness_priority,final_score,priority_label,status,applied_date,followup_date,notes,recruiter_email,final_score_num
Adzuna,Superclaims,Backend Python Developer,"Hyderabad, Telangana",2026-04-16T11:35:17Z,https://www.adzuna.in/details/5701125957?utm_medium=api&utm_source=e17291d5,Check JD,"About Superclaims Superclaims modernizes health insurance claims adjudication with intelligent automation. We help insurers and TPAs replace manual, document-heavy workflows with faster, more accurate decisions at scale. Role: Python Backend Developer We are looking for a Python Backend Developer who is excited to build AI-powered automation products in a fast-paced startup environment. What you'll do - Build and maintain scalable backend systems and APIs - Develop intelligent data extraction p… ",22,Highest,80,Apply First,Pending,,,,,80
Adzuna,Giggso,Data Analyst,"Hyderabad, Telangana",2026-05-15T09:19:49Z,https://www.adzuna.in/land/ad/5730010260?se=toTuC4dQ8RGiJchPzKRtww&utm_medium=api&utm_source=e17291d5&v=F700E8182C25ED9492CFC7EA3C9779A7E211E174,Check JD,"Hi, Giggso is a fast-growing, US-based product startup specializing in Advanced Machine Learning (AI/ML) and AI-driven enterprise platforms. The company builds scalable, secure, and high-impact products across sales intelligence, conversational AI, governance, and compliance domains. Giggso actively seeks high-performing engineers and leaders who thrive in dynamic product environments, demonstrate strong ownership, and are eager to work on cutting-edge AI technologies. With an AI-First culture,… ",16,Highest,78,High Priority,Pending,,,,,78
Adzuna,Highbrow Technology Inc,Data Scientist,India,2026-05-15T09:21:00Z,https://www.adzuna.in/land/ad/5730011177?se=toTuC4dQ8RGiJchPzKRtww&utm_medium=api&utm_source=e17291d5&v=C2A0A9ED6B16E55ABFA56FE19869B1448B048D27,Check JD,"Data Analyst/ Data Scientist Experience Minimum 5 years Engagement Type Short Term Contract ( 3 months) Skill 5 years data analytics or data science Strong SQL (complex queries, CTEs, window functions) and understanding of dimensional modeling (fact/dim tables) Experience with product event data (Segment, Amplitude, Mixpanel patterns) BigQuery experience and Familiar with data quality challenges and how to handle them Availability 8 hours per day with an overlap of 4 hours with PST. Role Overvi… ",16,Highest,78,High Priority,Pending,,,,,78
Adzuna,Elite Corporate Solutions Private Limited,Senior Data Analyst,India,2026-05-15T15:21:40Z,https://www.adzuna.in/land/ad/5730227098?se=toTuC4dQ8RGiJchPzKRtww&utm_medium=api&utm_source=e17291d5&v=16BA29F53449BF7EFFD2720878FFF03DE5F04E1A,Check JD,"Job Title: Senior Data Analyst  Location: Remote – India  Shift Timing: 4:00 PM – 12:00 AM IST  Employment Type: Full-time Job Summary We are looking for a highly analytical and detail-oriented Senior Data Analyst to join our team. The ideal candidate will be responsible for analyzing complex datasets, generating actionable insights, and supporting business decision-making through data-driven strategies. This role requires strong expertise in SQL, Python, Tableau, and Power BI, along with the a… ",16,Highest,78,High Priority,Pending,,,,,78
Direct Apply,JumpCloud - Lever,JumpCloud - Lever,Check JD,Check JD,https://jobs.lever.co/jumpcloud,Check JD,data analyst remote india fresher SQL Python,11,Highest,76,High Priority,Pending,,,,,76
Direct Apply,Jobs at Nearsure,Jobs at Nearsure,Check JD,Check JD,https://boards.greenhouse.io/nearsure/jobs/4475190007,Check JD,data analyst remote india fresher SQL Python,11,Highest,76,High Priority,Pending,,,,,76
Direct Apply,Jobs at Capco - boards.greenhouse.io,Jobs at Capco - boards.greenhouse.io,Check JD,Check JD,https://boards.greenhouse.io/capco/jobs/6136977?source=LinkedIn,Check JD,data analyst remote india fresher SQL Python,11,Highest,76,High Priority,Pending,,,,,76
Direct Apply,Jobs at Swish Analytics - Greenhouse Software,Jobs at Swish Analytics - Greenhouse Software,Check JD,Check JD,https://boards.greenhouse.io/swishanalytics/jobs/4418813005,Check JD,data analyst remote india fresher SQL Python,11,Highest,76,High Priority,Pending,,,,,76
Direct Apply,"Job Application for Software Engineer, Telemetry at Canonical - Jobs","Job Application for Software Engineer, Telemetry at Canonical - Jobs",Check JD,Check JD,https://boards.greenhouse.io/canonicaljobs/jobs/5993902,Check JD,data analyst remote india fresher SQL Python,11,Highest,76,High Priority,Pending,,,,,76
Direct Apply,Jobs at Glean - boards.greenhouse.io,Jobs at Glean - boards.greenhouse.io,Check JD,Check JD,https://boards.greenhouse.io/gleanwork/jobs/4230544005,Check JD,data analyst remote india fresher SQL Python,11,Highest,76,High Priority,Pending,,,,,76
